feature,mean_abs_shap
AQI_rolling_min_3,0.052345335
O3_rolling_mean_7,0.05218369
SO2_lag_14,0.0520736
SO2_pct_change_7,0.051436707
CO_change_3,0.050472166
O3_rolling_max_30,0.048741683
AQI_lag_1,0.047637586
NO2,0.04675424
AQI_rolling_std_3,0.046288203
CO_rolling_std_7,0.04604019
SO2_rolling_max_7,0.04529366
NO2_lag_1,0.0452036
SO2_rolling_max_3,0.04516235
day_of_week,0.044960994
CO,0.044214237
SO2_rolling_min_7,0.043914795
NO2_rolling_min_30,0.042358354
CO_lag_1,0.041370764
PM10_rolling_min_30,0.040837225
NO2_rolling_max_14,0.040005565
CO_rolling_max_3,0.03987443
month_cos,0.03959424
CO_lag_2,0.038923677
O3_rolling_max_3,0.03889597
CO_rolling_min_3,0.036626283
AQI_rolling_mean_3,0.036096808
PM2.5_lag_3,0.034755036
PM2.5_rolling_max_14,0.03265226
PM10_rolling_min_7,0.032538038
AQI_rolling_max_30,0.032029275
SO2_rolling_mean_3,0.031740803
PM10_rolling_max_30,0.030829132
NO2_rolling_mean_3,0.03065739
AQI_rolling_max_3,0.03053757
NO2_rolling_mean_30,0.030309917
CO_rolling_mean_30,0.028895488
CO_rolling_max_7,0.02674354
CO_rolling_max_30,0.020774571
AQI_momentum_7,0.019466722
dow_sin,0.019432629
CO_rolling_max_14,0.016957926
dow_cos,0.016483543
SO2_rolling_max_30,0.015242097
month,0.014651012
AQI_momentum_3,0.012768534
is_weekend,0.0005370736
