Feature,Importance
PM2.5,0.0567099881979458
PM2.5_rolling_mean_3,0.037166271163877454
AQI,0.03136486140029597
PM2.5_rolling_max_3,0.02850356070516085
PM2.5_rolling_min_3,0.027125271812527912
CO_rolling_min_14,0.020045684800123097
CO_rolling_mean_14,0.017976965727127325
PM2.5_rolling_mean_7,0.016596543280811064
PM25_Humidity_interaction,0.016520947542446957
AQI_rolling_mean_14,0.015892476834469826
PM2.5_rolling_mean_14,0.015803258440029177
AQI_rolling_min_30,0.015731711290995574
day_of_year_cos,0.015095466507143985
PM2.5_rolling_mean_30,0.014533555190522638
AQI_rolling_min_3,0.012300909881091946
CO_rolling_mean_7,0.011819998043700304
AQI_rolling_max_3,0.011298042214616118
AQI_rolling_mean_7,0.011208032743566422
AQI_rolling_mean_30,0.0111813144601542
CO_rolling_min_7,0.01103853304564007
PM10,0.010725289843525904
PM2.5_rolling_max_7,0.009832500365913193
PM2.5_change_7,0.009738182865218915
AQI_rolling_mean_3,0.009460862086930364
PM2.5_lag_1,0.008859375076777344
PM2.5_change_3,0.008506061525060924
PM2.5_rolling_min_30,0.008405493549099509
CO_rolling_mean_3,0.007978198053255434
CO_rolling_min_30,0.007970175634278563
NO2_rolling_max_30,0.007356279409636048
CO,0.007305664206998745
NO2_rolling_mean_14,0.006692590237189698
PM2.5_rolling_min_14,0.0066870451950193956
AQI_rolling_max_7,0.00667966719485388
PM2.5_change_1,0.006348252290318859
PM2.5_rolling_max_14,0.005841846210601721
NO2_rolling_mean_7,0.005662753079542387
PM10_change_7,0.005449347017269655
NO2_rolling_max_7,0.005342519616844119
PM10_change_3,0.005267194741283501
NO2_rolling_mean_30,0.0051671171283103005
PM10_rolling_min_3,0.00515844434536079
AQI_rolling_min_14,0.005124538656676866
SO2_rolling_min_3,0.005082056526668781
PM2.5_rolling_min_7,0.005037686299661405
PM10_pct_change_7,0.004873258096272283
PM2.5_rolling_std_14,0.004755279999923949
AQI_momentum_7,0.004745884178251128
PM2.5_pct_change_1,0.004588626792874462
CO_rolling_max_3,0.004512876543362053
PM10_pct_change_1,0.004460487300314042
CO_rolling_max_30,0.004452637550902702
CO_rolling_max_7,0.004380868794417607
PM10_rolling_mean_3,0.004302017331074402
AQI_rolling_min_7,0.004292789182710669
AQI_change_7,0.004210393615566282
NO2_rolling_std_30,0.004188935863398996
NO2_rolling_max_14,0.004134219619910941
PM2.5_rolling_std_30,0.004105967057952274
Temp_Humidity_interaction,0.003925110421057699
PM2.5_pct_change_7,0.003911928086073379
SO2,0.003894019818156659
PM10_change_1,0.003835929691269756
day_of_year,0.0036504091235995697
AQI_rolling_std_30,0.0036145791317940016
AQI_lag_1,0.0035328987526309003
CO_rolling_max_14,0.0035145505429898184
AQI_rolling_max_14,0.0034784980124031367
O3_rolling_mean_3,0.0033892394565213915
PM2.5_rolling_max_30,0.003327216314760766
SO2_rolling_mean_7,0.0032711630532336854
O3,0.003253559501909373
CO_rolling_mean_30,0.003228908291559356
PM25_PM10_ratio,0.0032266672484896875
AQI_change_1,0.0032084861754640955
O3_rolling_min_3,0.00320624129804676
SO2_rolling_std_30,0.003169869785460175
Temperature_lag_1,0.0031146212359706485
CO_rolling_min_3,0.0031040208617263932
PM10_rolling_max_3,0.003097937211278862
AQI_pct_change_1,0.003082200907769762
PM10_Humidity_interaction,0.003034941338192455
O3_rolling_max_3,0.0030131120570137822
day_of_year_sin,0.0030046739778599274
AQI_pct_change_7,0.0029812333684272664
O3_change_7,0.0029680965785515655
Humidity_lag_14,0.002891431118618614
PM10_rolling_mean_30,0.0028866967884996083
AQI_rolling_std_14,0.0028196588791705836
SO2_rolling_mean_3,0.0028163112304238685
Temperature,0.0027939550171442785
AQI_momentum_14,0.002773001151856248
AQI_momentum_3,0.0027286057510659653
AQI_change_3,0.0027237739125739457
PM10_rolling_std_30,0.0026390021627684464
PM10_rolling_max_30,0.0026239502333255745
SO2_rolling_std_14,0.0025429774543113417
CO_rolling_std_14,0.002535580163476804
Temperature_lag_2,0.0025300489267624524
Humidity_lag_7,0.002520868446548768
SO2_rolling_mean_30,0.0024830148693538692
CO_rolling_std_30,0.002481527299247467
SO2_rolling_mean_14,0.0024710210213105994
NO2_rolling_std_7,0.0024402383151606462
O3_change_3,0.002428851681652519
month_cos,0.0024171053472450735
PM10_rolling_mean_7,0.0023759559349430417
PM10_rolling_max_7,0.0023747786299484746
PM10_rolling_mean_14,0.00232439881199147
Temperature_lag_7,0.0022494571220191563
PM10_rolling_std_3,0.0021912101570454837
O3_rolling_std_30,0.002184278308763696
CO_rolling_std_7,0.0021791559704673587
PM2.5_rolling_std_3,0.00217740918480645
NO2,0.0021771025716024327
O3_rolling_mean_7,0.002162983771488428
SO2_lag_30,0.0021614250965331823
SO2_rolling_max_14,0.0021191598692092235
O3_rolling_mean_30,0.002113750183858963
CO_lag_30,0.0020984251590308294
SO2_rolling_std_7,0.002083253837754828
Humidity,0.002058676664592218
Temperature_lag_3,0.002030896048704462
PM2.5_lag_2,0.0020126298223856883
PM2.5_rolling_std_7,0.0020068105356684826
O3_lag_30,0.0020064882488185364
AQI_rolling_max_30,0.0019946749412219104
day,0.0019918022351267098
SO2_lag_14,0.0019878005313932502
CO_lag_2,0.001983239683954359
NO2_rolling_std_14,0.001976469502177908
Humidity_lag_21,0.0019753385643986807
SO2_rolling_max_3,0.00197034711906152
CO_lag_7,0.001948147733218449
AQI_lag_2,0.0019453175958435351
SO2_rolling_max_7,0.0019350261807302795
SO2_change_1,0.0019287731270875455
CO_lag_1,0.001919864710546756
PM10_rolling_std_14,0.0019193106855694669
CO_lag_21,0.001912992538872902
O3_rolling_mean_14,0.0019078082911915303
PM10_rolling_max_14,0.0018943554641579
CO_change_3,0.001882688882877722
AQI_lag_7,0.0018779817192842137
Temperature_lag_14,0.0018712577092721062
AQI_rolling_std_3,0.0018652621205109909
AQI_lag_3,0.0018482890423108132
PM10_lag_1,0.0018254662336636767
O3_rolling_std_14,0.001818441718591066
NO2_lag_30,0.0018137857022899517
O3_pct_change_7,0.0018097632763079202
SO2_lag_3,0.0017871857319440353
NO2_rolling_max_3,0.0017798012500693371
NO2_rolling_min_14,0.0017777595799479333
CO_NO2_ratio,0.0017763301198760746
AQI_lag_14,0.001775551134654207
O3_lag_2,0.0017692689341632273
PM2.5_lag_7,0.0017628788015732369
NO2_change_3,0.0017333851815308165
PM10_rolling_std_7,0.001724691766193267
SO2_lag_21,0.0017216141489735848
CO_lag_3,0.0017070630677984277
O3_rolling_max_7,0.0016977153875870157
O3_lag_14,0.0016961211569245557
SO2_lag_1,0.001693439466846803
NO2_rolling_mean_3,0.0016778520960979966
PM2.5_lag_30,0.0016758549486730534
PM10_lag_30,0.0016666709563161633
CO_change_1,0.0016633603123074395
CO_rolling_std_3,0.0016493021589925245
O3_rolling_min_14,0.0016490464488211935
Humidity_lag_3,0.001641524245893033
NO2_change_1,0.0016368415899954644
Humidity_lag_30,0.001627855755569214
CO_pct_change_7,0.0016226780046424514
CO_pct_change_1,0.0016163724973792626
Temperature_lag_30,0.0016143193893258189
PM10_lag_3,0.0016141724543503998
Humidity_lag_1,0.0016096161406767577
SO2_rolling_min_30,0.001606178496872097
NO2_lag_3,0.0016034701628800361
Humidity_lag_2,0.0015989566626014144
NO2_lag_14,0.001593985353054084
PM10_lag_14,0.0015885491756457866
SO2_lag_2,0.0015884969810329372
Temperature_lag_21,0.0015835294767712496
NO2_change_7,0.0015823486773346252
O3_rolling_max_14,0.0015733916442713834
NO2_lag_7,0.0015727669326426345
SO2_change_3,0.0015723980839565828
CO_change_7,0.001572252106320498
O3_change_1,0.001567339158352726
AQI_lag_30,0.0015671568065789316
SO2_pct_change_1,0.0015478988602207016
PM2.5_lag_14,0.0015432580352919988
O3_lag_1,0.0015381423995494685
O3_rolling_min_7,0.0015323065939864202
O3_rolling_std_3,0.0015315226945727554
NO2_rolling_min_7,0.001529298803576604
AQI_rolling_std_7,0.0015283622986422588
O3_lag_21,0.0015114930931847746
PM10_lag_2,0.0015112693683719098
PM2.5_lag_3,0.001505876374231226
NO2_pct_change_7,0.0014918264282642324
AQI_lag_21,0.0014917436129688571
SO2_rolling_std_3,0.0014897245360603077
PM10_rolling_min_14,0.001483755130279815
SO2_change_7,0.0014825033624037993
SO2_rolling_min_7,0.0014810587791696226
CO_lag_14,0.0014782230868742236
O3_pct_change_1,0.0014655829882922846
NO2_pct_change_1,0.001462389917479751
NO2_rolling_min_3,0.0014467265233083781
month_sin,0.001443436982535936
PM2.5_lag_21,0.0014274069094807737
PM10_rolling_min_7,0.0014199444855531253
SO2_rolling_min_14,0.0014167257609096718
PM10_rolling_min_30,0.001395161305652859
O3_lag_7,0.0013915684518969649
month,0.0013836247198063176
NO2_O3_ratio,0.00137801267124668
NO2_lag_2,0.0013554462344832958
O3_lag_3,0.0013528651399799783
NO2_rolling_std_3,0.0013447575063544256
PM10_lag_7,0.0013404941173516425
SO2_rolling_max_30,0.0013372538369586448
NO2_lag_21,0.0013320114697466159
PM10_lag_21,0.0012934863624140943
NO2_rolling_min_30,0.0012895359497454664
SO2_pct_change_7,0.001277982678950592
NO2_lag_1,0.0012612526085852512
O3_rolling_std_7,0.0012478234564480425
SO2_lag_7,0.0012022045098468094
O3_rolling_max_30,0.001110936091466771
O3_rolling_min_30,0.0010799351629710845
dow_sin,0.0007142339335177682
day_of_week,0.0006356947181550571
dow_cos,0.0005159161786514155
Precipitation,0.00020569795761033575
is_weekend,0.0001775758500168861
