Model,MAE,RMSE,R2
Random Forest,9.621089825457643,13.389241452330126,0.5554194329765122
XGBoost,9.438787824907623,13.400940127635273,0.5548355325104742
Baseline,12.055555555555555,17.23134632963345,0.26361591385529654
Ridge Regression,13.05092389419002,17.800111621429718,0.21460510597652774
